,date,open,close,high,low,volume
2016-06-08,736123.0,65.2812239815,65.598027,65.9148300185,65.2812239815,2601100.0
2016-06-09,736124.0,65.0634210744,65.053519,65.1228196605,64.2516143275,3883800.0
2016-06-10,736125.0,64.6080177262,64.320914,64.825820792,64.0635095668,3939100.0
2016-06-13,736128.0,64.1526135983,63.033898,64.2417104864,62.9943005931,5883400.0
2016-06-14,736129.0,62.9546987269,60.459875,63.023999386,59.7767694934,12323200.0
2016-06-15,736130.0,60.8558804414,60.806377,61.5389859557,60.2519746911,5979900.0
2016-06-16,736131.0,60.3311736743,61.311284,61.4894866874,60.0539720239,5543600.0
2016-06-17,736132.0,61.3112836697,61.241984,61.8062883821,61.0043797581,6521500.0
2016-06-20,736135.0,62.0240932733,61.677587,62.7764984662,61.6082873293,4289100.0
2016-06-21,736136.0,61.6775861142,61.667688,61.8557888005,61.1330819211,3360600.0
2016-06-22,736137.0,61.6676882052,61.331085,62.0141895247,61.2617843401,3462800.0
2016-06-23,736138.0,62.2121921366,62.618096,62.6378961885,61.8458896401,3624600.0
2016-06-24,736139.0,59.8757709751,59.459968,61.0835834828,59.4005664435,10798700.0
2016-06-27,736142.0,58.7471597325,57.093842,58.7471597325,56.7572427529,7567600.0
2016-06-28,736143.0,57.6680483146,57.321547,58.0244526933,56.5790399402,8294300.0
2016-06-29,736144.0,57.6598438047,59.331432,59.4010815081,57.570294437,6281100.0
2016-06-30,736145.0,59.5702282497,60.455771,60.455771,58.5254866239,8535400.0
2016-07-01,736146.0,60.4557705125,60.386122,61.2119671552,60.2667238393,4166500.0
2016-07-05,736150.0,59.9184774799,58.853836,60.0876242944,58.6647843513,4911800.0
2016-07-06,736151.0,58.4558361424,59.182181,59.4309292389,57.9583396646,5484400.0
2016-07-07,736152.0,59.1821823223,59.510531,60.0279283435,59.0826840195,5077400.0
2016-07-08,736153.0,60.3761727137,61.182119,61.2915642454,60.2468226342,5768400.0
2016-07-11,736156.0,61.6398154713,61.848763,62.1472598959,61.5502661041,3414400.0
2016-07-12,736157.0,62.3164105967,62.684557,63.0129066695,62.3164105967,4531900.0
2016-07-13,736158.0,62.6646578325,62.784055,63.0328032448,62.3263592245,3887600.0
2016-07-14,736159.0,63.3412526537,63.291504,63.6795502644,63.0925044104,4417200.0
2016-07-15,736160.0,63.6298017959,63.460651,63.789000672,62.9930062914,3675600.0
2016-07-18,736163.0,63.639749226,63.669602,63.7989520808,63.2218541695,3260000.0
2016-07-19,736164.0,63.3711013287,63.838753,63.8486969598,63.1820536592,3840500.0
2016-07-20,736165.0,63.9680993448,64.15715,64.4755477519,63.1820538997,8315800.0
2016-07-21,736166.0,63.4805504034,63.112404,64.0576443352,62.5651588622,9498600.0
2016-07-22,736167.0,63.082556173,63.958147,64.0178435931,63.052703399,4063400.0
2016-07-25,736170.0,63.8785459384,64.0079,64.0974453877,63.7193510426,3060300.0
2016-07-26,736171.0,64.1073965928,64.0477,64.2267987333,63.6596497595,2745900.0
2016-07-27,736172.0,63.9481952444,64.266592,64.6148455097,63.8884976561,3168500.0
2016-07-28,736173.0,64.0377490197,64.465596,64.6446947359,63.7392481415,3044000.0
2016-07-29,736174.0,64.3760423234,64.137246,64.4158430373,63.848697043,3732700.0
2016-08-01,736177.0,64.1670954688,63.808897,64.4158437145,63.6397501829,2913900.0
2016-08-02,736178.0,63.6397495669,63.152205,63.8984497299,62.8835568973,2531000.0
2016-08-03,736179.0,63.1820533313,63.510403,63.6994466885,63.1522045373,3034500.0
2016-08-04,736180.0,63.5601514123,63.619849,63.699446447,63.1920010313,3680000.0
2016-08-05,736181.0,64.2168468755,65.191936,65.3809866531,64.0277952274,4863800.0
2016-08-08,736184.0,65.500389,65.500389,65.9182840561,65.2814895523,3253700.0
2016-08-09,736185.0,65.5003898964,65.06259,65.6794886329,64.8436905493,3701600.0
2016-08-10,736186.0,65.1023901405,64.415843,65.1720396485,64.2566481045,2883000.0
2016-08-11,736187.0,64.6745433869,65.152143,65.3312427305,64.5650931647,2450100.0
2016-08-12,736188.0,64.8337465095,65.052638,65.1819920623,64.6844955726,2103800.0
2016-08-15,736191.0,64.9431885288,65.301386,65.4904376503,64.9431885288,3136700.0
2016-08-16,736192.0,65.2814898311,64.973044,65.3411864244,64.9531401606,2805600.0
2016-08-17,736193.0,65.0725429553,65.351139,65.5202858168,64.7640891612,3054500.0
2016-08-18,736194.0,65.1919367727,65.301386,65.4506369363,64.9431885288,2807500.0
2016-08-19,736195.0,65.1421904121,65.201888,65.3511379397,64.7441922311,2783200.0
2016-08-22,736198.0,65.2018878136,65.032741,65.2118397332,64.6347418252,3230700.0
2016-08-23,736199.0,65.400891634,65.351139,65.9481337937,65.351139,3551700.0
2016-08-24,736200.0,65.5202851803,64.833746,65.7889382576,64.7242957781,4128200.0
2016-08-25,736201.0,64.674543,64.674543,64.8237939354,64.4357466774,4243800.0
2016-08-26,736202.0,64.9431886492,64.465596,65.1620880992,64.1969439161,3623600.0
2016-08-29,736205.0,64.6745426438,65.191936,65.4406842409,64.4755470361,4173800.0
2016-08-30,736206.0,65.4406847509,65.122287,65.6396873252,64.774040455,3775800.0
2016-08-31,736207.0,65.1421907782,65.251641,65.3909390209,64.5352450662,4783600.0
2016-09-01,736208.0,65.221792139,64.535245,65.3113375263,64.0974451084,3657700.0
2016-09-02,736209.0,64.7342409333,64.863594,65.3411866478,64.5352453234,3131700.0
2016-09-06,736213.0,64.8337462052,65.43074,65.4406849548,64.724295983,3956400.0
2016-09-07,736214.0,65.1620879376,65.858587,65.8685319548,64.9829892021,3200700.0
2016-09-08,736215.0,65.8187866131,65.908332,66.3759796885,65.7192883116,4078900.0
2016-09-09,736216.0,65.4108356646,64.793945,65.6894327004,64.793945,5144900.0
2016-09-12,736219.0,64.3959453132,65.570038,65.7590806923,63.8188474069,4923200.0
2016-09-13,736220.0,64.8934419469,64.037748,64.9929402481,63.7193502523,5620300.0
2016-09-14,736221.0,64.0377477984,63.162153,64.0377477984,63.0228539858,5403300.0
2016-09-15,736222.0,63.0825560247,63.510403,63.8486966284,62.9432530295,4634300.0
2016-09-16,736223.0,63.0527030458,63.341252,63.6298009542,62.8437555187,10475800.0
2016-09-19,736226.0,63.639748699,63.739247,64.2566473189,63.3511997458,3388600.0
2016-09-20,736227.0,64.1969433955,63.400953,64.3163445418,63.3810531406,2927600.0
